node,degree,Betweenness_centrality,Eigenvector_centrality,Closeness_centrality,betwennes/degree
XXbac-BCX195L8.1,1,0.0,2.1541618716687146e-05,0.26935236635370763,0.0
KIR2DL3,4,2.0577371781563448e-05,0.0004587551798070172,0.3303178053222111,5.144342945390862e-06
CU464054.1,1,0.0,2.1541618716687146e-05,0.26935236635370763,0.0
TAP2,11,4.833581888421806e-05,0.0010366263393153784,0.3458392275047666,4.394165353110733e-06
DAAP-57C1.2,1,0.0,2.1541618716687146e-05,0.26935236635370763,0.0
KIR2DL2,2,0.0,3.335767979348077e-05,0.27409212771143066,0.0
CU464060.2,1,0.0,2.1541618716687146e-05,0.26935236635370763,0.0
FBXO6,276,0.0020951180501937645,0.0463556026688978,0.42734458124335006,7.591007428238277e-06
RP3-330O12.3,23,0.0007453069383480558,0.003731694865479964,0.3966563205417607,3.240464949339373e-05
PTCH1,14,0.0011356332693965934,0.001033220471426863,0.3339470245872431,8.111666209975667e-05
RP11-435O5.3,2,0.0,2.8461174831275102e-05,0.27297441623379776,0.0
CDC25A,60,0.0002470598122703566,0.010884770980798987,0.4029091430209229,4.117663537839276e-06
BATF2,12,3.718220385961125e-05,0.0010875769671963725,0.33528114006320436,3.0985169883009375e-06
RNF139,10,1.666283828797097e-05,0.0005098832583469149,0.3214796180893031,1.6662838287970972e-06
CUL7,406,0.004798741914204354,0.07380861049118333,0.4597334641484752,1.1819561365035355e-05
CCDC8,296,0.0028748449622888164,0.05522038302180439,0.4486913501436323,9.712314061786542e-06
ATP1B3,43,0.00020026390052411714,0.006093936781468255,0.38083305113443955,4.6573000121887705e-06
HMOX1,16,6.218291832800089e-05,0.0016984417040744968,0.3571065667471104,3.886432395500056e-06
CTA-286B10.6,1,0.0,2.1541618716687146e-05,0.26935236635370763,0.0
TMEM63B,27,5.3335033477157587e-05,0.0037058327693161963,0.36040251249839766,1.975371610265096e-06
RP3-421H19.2,1,0.0,2.1541618716687146e-05,0.26935236635370763,0.0
IFI16,160,0.0017129428154798979,0.02101641084957975,0.4222422467522715,1.0705892596749362e-05
MAPK8IP2,38,0.00025128697022128583,0.0037456068689062133,0.38072990723813394,6.6128150058233115e-06
ST6GAL1,5,4.4141524843649865e-06,8.088987198121502e-05,0.29208872266375774,8.828304968729973e-07
TMED6,2,1.2723041077538966e-06,0.00023822156898832073,0.30950022016732714,6.361520538769483e-07
UNQ9146/PRO34237,1,0.0,2.1541618716687146e-05,0.26935236635370763,0.0
MTM1,15,2.6123006603000204e-05,0.0014651366924253657,0.3428449484787513,1.741533773533347e-06
PPM1E,15,6.66838928104473e-05,0.0022686951804654198,0.35971084953940635,4.44559285402982e-06
MTMR12,12,1.5656033048958773e-05,0.0006723891005267583,0.3179710472743723,1.3046694207465645e-06
DNAJC1,9,3.093674190529906e-05,0.002335295078122525,0.3615147229008615,3.437415767255451e-06
RP11-399C16.1,2,1.0370588082168753e-05,0.0002660880473742715,0.31714608009024253,5.185294041084376e-06
TMEM223,9,2.282630598369949e-05,0.0007467012197180072,0.3375960614793468,2.5362562204110543e-06
CDH1,273,0.004538859259765463,0.03447429131359502,0.45431041447846815,1.6625858094378984e-05
ADAM33,10,1.6099412581347717e-05,0.00025580422406597947,0.30922789265288164,1.6099412581347718e-06
RP5-964F7.2,1,0.0,2.1541618716687146e-05,0.26935236635370763,0.0
ST8SIA4,12,2.2110694522414748e-05,0.0016123462527788965,0.34571165078389177,1.8425578768678956e-06
HTR3A,13,5.247912266135541e-05,0.0010118961710787952,0.3419484310386767,4.036855589335031e-06
LIPG,9,1.3760828152917132e-05,0.0004897339258575482,0.32038060509372684,1.5289809058796814e-06
